title,price,mileage,location,state,seller_type,accident_history,source,url,vin,body_type,transmission,driveline,ext_color,dealer_name,imv_expected_price,imv_deal_rating
2011 BMW 3 Series 328i xDrive,4495.0,140000.0,"Orlando, FL",FL,dealer,unknown,autolist,https://www.autolist.com/bmw-3+series#vin=WBAPK7C52BA819661,WBAPK7C52BA819661,sedan,automatic,AWD,,3C Global Motors,5437,Good Deal
2011 BMW 3 Series 328i,5250.0,92866.0,"Federal Heights , CO",CO,dealer,unknown,autolist,https://www.autolist.com/bmw-3+series#vin=WBAPH5G55BNM71943,WBAPH5G55BNM71943,sedan,automatic,RWD,white,	 Sky 1 United Auto,7983,Great Deal
2011 BMW 3 Series 328i xDrive,5986.0,98250.0,"Murray, UT",UT,dealer,unknown,autolist,https://www.autolist.com/bmw-3+series#vin=WBAPK5G54BNN32278,WBAPK5G54BNN32278,sedan,automatic,AWD,gray,Tim Dahle Nissan,,No Price Analysis
2011 BMW 3 Series 328i,6495.0,122759.0,"Santa Ana, CA",CA,dealer,unknown,autolist,https://www.autolist.com/bmw-3+series#vin=WBAKE3C5XBE769109,WBAKE3C5XBE769109,coupe,automatic,RWD,red,The Car Store,7882,Good Deal
2011 BMW 3 Series 328i xDrive,6900.0,134037.0,"Lakewood, CO",CO,dealer,unknown,autolist,https://www.autolist.com/bmw-3+series#vin=WBAPK5C5XBF124562,WBAPK5C5XBF124562,sedan,automatic,AWD,black,Ritetime Auto,6899,Fair Deal
2011 BMW 3 Series 328i xDrive,7700.0,98016.0,"Sebring, FL",FL,dealer,unknown,autolist,https://www.autolist.com/bmw-3+series#vin=WBAPK7C58BA972125,WBAPK7C58BA972125,sedan,automatic,AWD,black,McPhail's Auto Sales,7422,Fair Deal
2011 BMW 3 Series 328i xDrive,7950.0,138378.0,"Bunn, NC",NC,dealer,unknown,autolist,https://www.autolist.com/bmw-3+series#vin=WBAPK5G5XBNN24556,WBAPK5G5XBNN24556,sedan,automatic,AWD,black,Legacy Car Sales,6354,High Price
2011 BMW 3 Series 328i xDrive,7991.0,107202.0,"Idaho Falls, ID",ID,dealer,unknown,autolist,https://www.autolist.com/bmw-3+series#vin=WBAPK7C52BA821975,WBAPK7C52BA821975,sedan,,AWD,white,Lambson Auto,8286,Good Deal
2011 BMW 3 Series 328i xDrive,7995.0,67131.0,"New Hampton, NY",NY,dealer,unknown,autolist,https://www.autolist.com/bmw-3+series#vin=WBAPK7C56BA819615,WBAPK7C56BA819615,sedan,automatic,AWD,blue,Affordable Imports,8828,Good Deal
2011 BMW 3 Series 328i xDrive,8000.0,120673.0,"Denver, CO",CO,dealer,unknown,autolist,https://www.autolist.com/bmw-3+series#vin=WBAPK7C53BA971769,WBAPK7C53BA971769,sedan,automatic,AWD,brown,GQ Auto,7797,Fair Deal
2011 BMW 3 Series 328i,8480.0,138418.0,"Toccoa, GA",GA,dealer,unknown,autolist,https://www.autolist.com/bmw-3+series#vin=WBAPH7C59BA171251,WBAPH7C59BA171251,sedan,manual,RWD,blue,Lake Hartwell Chevrolet,7550,Fair Deal
2011 BMW 3 Series 328i xDrive,8599.0,120431.0,"Norwich, CT",CT,dealer,unknown,autolist,https://www.autolist.com/bmw-3+series#vin=WBAPK5C50BA654147,WBAPK5C50BA654147,sedan,automatic,AWD,blue,James Auto LTD,7138,High Price
2011 BMW 3 Series 328i,8922.0,91765.0,"Ventura, CA",CA,dealer,unknown,autolist,https://www.autolist.com/bmw-3+series#vin=WBAKE5C54BE574019,WBAKE5C54BE574019,coupe,automatic,RWD,gray,Ventura Toyota,9666,Good Deal
2011 BMW 3 Series 328i xDrive,9800.0,95000.0,"Yonkers, NY",NY,dealer,unknown,autolist,https://www.autolist.com/bmw-3+series#vin=WBAPK7C55BA772321,WBAPK7C55BA772321,sedan,manual,AWD,black,Dan Martin's Auto Depot,8785,High Price
2011 BMW 3 Series 328i xDrive,10995.0,67250.0,"West Chester, PA",PA,dealer,unknown,autolist,https://www.autolist.com/bmw-3+series#vin=WBAPK5C51BF127589,WBAPK5C51BF127589,sedan,automatic,AWD,gray, Dougherty Automotive Services and Used Cars,9429,High Price
